"","2006-02-01","2006-03-01","2006-04-01","2006-05-01","2006-06-01","2006-07-01","2006-08-01","2006-09-01","2006-10-01","2006-11-01","2006-12-01","2007-01-01","2007-02-01","2007-03-01","2007-04-01","2007-05-01","2007-06-01","2007-07-01","2007-08-01","2007-09-01","2007-10-01","2007-11-01","2007-12-01","2008-01-01","2008-02-01","2008-03-01","2008-04-01","2008-05-01","2008-06-01","2008-07-01","2008-08-01","2008-09-01","2008-10-01","2008-11-01","2008-12-01","2009-01-01","2009-02-01","2009-03-01","2009-04-01","2009-05-01","2009-06-01","2009-07-01","2009-08-01","2009-09-01","2009-10-01","2009-11-01","2009-12-01","2010-01-01","2010-02-01","2010-03-01","2010-04-01","2010-05-01","2010-06-01","2010-07-01","2010-08-01","2010-09-01","2010-10-01","2010-11-01","2010-12-01","2011-01-01","2011-02-01","2011-03-01","2011-04-01","2011-05-01","2011-06-01","2011-07-01","2011-08-01","2011-09-01","2011-10-01","2011-11-01","2011-12-01","2012-01-01","2012-02-01","2012-03-01","2012-04-01","2012-05-01","2012-06-01","2012-07-01","2012-08-01","2012-09-01","2012-10-01","2012-11-01","2012-12-01","2013-01-01","2013-02-01","2013-03-01","2013-04-01","2013-05-01","2013-06-01","2013-07-01","2013-08-01","2013-09-01","2013-10-01","2013-11-01","2013-12-01","2014-01-01","2014-02-01","2014-03-01","2014-04-01","2014-05-01","2014-06-01","2014-07-01","2014-08-01","2014-09-01","2014-10-01","2014-11-01","2014-12-01","2015-01-01","2015-02-01","2015-03-01","2015-04-01","2015-05-01","2015-06-01","2015-07-01","2015-08-01","2015-09-01","2015-10-01","2015-11-01","2015-12-01","2016-01-01","2016-02-01","2016-03-01","2016-04-01","2016-05-01","2016-06-01","2016-07-01","2016-08-01","2016-09-01","2016-10-01","2016-11-01","2016-12-01","2017-01-01","2017-02-01","2017-03-01","2017-04-01","2017-05-01","2017-06-01","2017-07-01","2017-08-01","2017-09-01","2017-10-01","2017-11-01","2017-12-01","2018-01-01","2018-02-01","2018-03-01","2018-04-01","2018-05-01","2018-06-01","2018-07-01","2018-08-01","2018-09-01","2018-10-01","2018-11-01","2018-12-01","2019-01-01","2019-02-01","2019-03-01","2019-04-01","2019-05-01","2019-06-01","2019-07-01","2019-08-01","2019-09-01","2019-10-01","2019-11-01","2019-12-01","2020-01-01","2020-02-01","2020-03-01","2020-04-01","2020-05-01","2020-06-01","2020-07-01","2020-08-01","2020-09-01","2020-10-01","2020-11-01","2020-12-01","2021-01-01","2021-02-01","2021-03-01","2021-04-01","2021-05-01","2021-06-01","2021-07-01","2021-08-01","2021-09-01","2021-10-01","2021-11-01","2021-12-01","symbols"
"1",57507840,83650972,85245443,60716760,74451730,36407743,55075846,43755329,39486586,92704673,40468569,53914502,55390761,70257016,39700542,57073404,61351396,92346814,100316171,85622177,94383699,102167421,94544320,119532924,83197421,82713320,72386647,81521188,67477223,58954113,76737678,89543552,102441980,63375762,67051455,44174228,45840654,70314474,68108511,42844085,53628759,54377860,55761505,49503779,64415908,51752927,50954089,50352453,79393026,109979646,91125266,123208783,96800867,76168690,164015145,140355866,143687941,153892327,113544997,121129597,117924040,127829419,91993057,112283687,105142748,83064376,173969819,132353872,164588379,104528894,99761528,82637369,108703432,121387564,116820089,120260940,94998421,104598774,138200392,94609449,110361723,96948118,76959273,112320602,92308450,117618882,91643901,124978301,175418295,85388945,98591038,109694890,92415779,89450358,67057594,81972289,86990666,108412125,95747405,97943159,71837904,90826586,101235473,93186050,96312494,76328840,89484531,194039323,97754594,100566323,125229416,169365457,301123620,220732012,217284174,192477000,142120015,127367878,131864421,163742239,132757939,144068146,156843292,173135470,301782734,206885770,150525168,134862624,123366786,119131159,156268490,101620096,140328047,147941560,105042176,135698872,105905892,99013029,165508396,110493223,106946903,115989367,101697568,180608365,142798386,131575167,115124933,129981673,118886748,108239472,157522386,138477618,140643885,143406298,123999910,125069594,120210707,171324096,114993806,157264225,113343509,98565989,205978684,131859145,135187699,96592738,98306720,110451858,92757504,341967733,178039746,196223201,256105125,179439176,135159701,141565243,113580119,261054021,146921347,151459970,183150420,216960043,98855211,104279825,127134838,99590488,98520076,117106799,66091856,83851056,92528247,"00001.HK"
"2",10620221,9587658,10262682,11161282,19412037,11857523,16156220,10537369,14356694,18588102,12930651,17651336,17982960,28296875,9055262,50046780,17354753,16159603,20681868,14072876,22384677,37129798,18332653,27659614,13262899,19208041,11846392,18862119,26697332,11834712,13528977,16037791,19626916,13140183,18470164,8421833,18787076,15272462,9655958,15538385,15832235,6538981,13142670,13922137,9933717,6806721,13156894,14281076,26081767,23066982,17425852,27218252,21984999,15597103,31898399,24454876,19375246,22826899,21165475,17219515,20420903,19888547,20676681,25640647,20121377,12957157,23495155,23636806,23270512,24547347,17496937,16049579,18782754,14473070,8411343,13590384,10671081,9125241,8087236,10285749,28725895,142139305,76990211,37751712,23375545,19911054,26398754,24296306,15258897,13960042,14558411,16382949,15577154,26708079,11949434,27765924,7401787,11230892,9306878,18250645,15163566,17348681,11844631,10007493,14518210,8525402,13440794,20607738,21220642,59344955,21603242,18802807,18920253,33066984,27137005,47702817,44939808,17610310,27160673,42885867,35888534,94242926,35277845,34051690,29617284,25102833,23094484,35975062,42755740,148422470,51891481,34724823,24546357,23315183,18009979,17422550,17606713,17928059,12049744,18743502,19062188,24045899,15325256,31379410,12259369,21400151,40899604,26001415,30540694,30231223,29756829,22397700,32075617,36893208,36596114,35586956,27067540,19004873,37508516,147218570,43890349,22393760,33498436,22775783,110792038,32807207,25186142,29534582,26380621,56322246,25021025,23987946,47447195,32561576,15821317,15983125,17056955,23424500,15961137,23285320,16078053,18910308,9369366,17721761,13358606,13466148,11815010,13664068,6263273,10652729,22455593,"00010.HK"
"3",1899000,308500,883598,2886500,849000,334000,457500,256500,79500,97500,677000,681500,1789500,2676402,605000,806000,620000,420500,852500,528500,557000,1130000,1751500,4135500,803000,322500,409500,122500,375500,151000,219000,245500,345500,149000,599000,72625,253000,209050,1503500,2411000,1159500,553500,321000,219000,1044500,796500,1020720,465000,144800,586500,4676900,1275000,751500,546500,751872,1050500,2859500,966000,337800,352000,640500,2733500,1751000,305000,659500,360500,486100,150500,304500,154000,746000,192000,1846500,3101500,1740500,1276000,495000,220000,1040500,860500,1124000,530000,490000,917250,861500,753000,390000,480000,1181500,444000,191000,904500,885000,399500,434500,209700,823550,1271000,448000,208500,467000,345500,310500,1081000,398000,244500,471000,163000,168500,537500,1339500,1713000,6658500,21622050,5828000,965000,706500,565000,248500,385500,588250,554500,291000,286500,588500,376000,150500,391000,280000,708000,150500,145500,3393500,418000,558000,850000,3034000,702500,749500,795500,1680000,131500,440000,1943000,146000,163000,128000,96000,290000,59000,304000,55000,67000,225500,23500,161650,76500,403500,31000,222000,88000,193000,12150,66500,71500,214000,67000,91500,17000,42000,425500,69500,658000,1003500,723500,79500,40500,13000,547000,431500,701500,169500,10500,11000,868500,322500,2004000,2235500,2500,234000,70500,"01000.HK"
"4",2137346,1801753,5628819,880230,780488,1182745,1651039,1597005,2911831,2230403,11573345,11722214,6340693,2884814,5499460,17704835,32126511,13289357,5034767,2110325,5804764,1106195,2956860,2854797,162104,1389877,771486,141087,0,537337,390245,93060,321202,693438,216136,258163,3356112,907780,600378,1435205,4010525,10095351,3726574,942591,1230778,29493547,39384765,14294993,2146347,7582773,9050990,23032288,5175259,31805308,5836071,1736766,9828186,16666489,11233067,8183147,1452914,5820849,7114476,51565827,53202453,615387,2580122,420265,448806,381244,78048,486305,2026276,788683,843530,213133,2252419,1446908,633399,1347846,3149597,36378680,49900407,48061266,32372358,44244827,21106274,39567886,58494779,27048670,34736895,18284505,67923712,79666605,53506856,30017376,13628570,25804845,11854666,7465698,31512320,25603100,24214487,41419325,16669612,23254052,24559376,13648648,2914914,10314742,21715508,98949080,122491343,113985954,83653347,5083325,10520630,5278378,8768793,1218459,3342326,8193282,5950426,1025811,3247209,1987818,1125788,3469954,4571863,3810687,2686390,7398197,10472411,5100323,1776693,11252377,10572893,6762427,13257346,6752159,4193603,7895115,4071526,5673217,3676790,3434629,469544,843594,649182,4883058,3615149,2078845,3970816,1326201,6702901,2517110,380385,2222596,2267934,914473,728703,1868749,642023,149728,2681101,686817,726008,908680,778108,389583,1214400,489369,716156,3002031,3807741,3891602,479815,570045,2325830,3218584,679384,353494,1060477,1995694,2191243,867277,759275,1244044,1264488,37928533,4118044,"01001.HK"
"5",3570353,32952450,47687595,14368548,6537148,14784025,28346055,57947403,13737360,27124062,8241566,39299389,39676615,38338795,75077310,76749847,105818475,38925354,27831754,45243605,22442221,13990260,4395926,6379882,2686265,952094,1211370,833082,1746923,3051803,2422741,4314178,1831931,480297,323032,692819,0,553545,17979280,50750024,10902329,3685115,9520943,13223059,2091207,13767113,13393076,42147173,6626404,52207919,48939344,21503944,3163375,824581,6108001,5903835,13083859,24704508,9051193,9525799,79168000,56570531,33655810,8788000,10213000,8094952,3397466,2953000,5568211,5441340,5796566,13608052,12288586,6484000,3356451,5176000,38922801,3843999,6543812,5696000,25930740,7732000,127283485,51508006,13940042,26403337,18744559,7800000,7023999,5682903,1310799,1211589,22546700,4103340,3953410,277172708,18420135,73774776,58710949,11375315,5682753,3736738,25089095,297523446,73867199,278917876,133478026,130089398,147262132,219346572,144749197,114757606,50054035,73226584,109377999,23696000,24986000,51626999,15282689,16795999,8008000,9948000,71318001,64312000,18364000,39978000,20180000,16260743,15696000,8400000,8267573,8024000,21584021,84305990,8932000,10357294,13165916,37164244,70930525,159043236,78071911,38754162,10081000,11823883,8034207,18141923,7491000,4686000,15717000,14315904,42556000,11570000,5530000,4642871,6341491,2460000,4264323,19365346,7040000,7902000,120918461,48330000,198693271,38621308,67177324,78303451,15374327,12326000,18497200,12320000,10980000,12332000,14922865,28487958,29425204,29222858,17831000,7472000,3864000,5923503,6737212,5447810,2782031,2532878,1305000,1735086,80647,3782000,5548000,944000,1865019,"01002.HK"
"6",37555,22542,14144,9594,7464,8994,21120,12300,26906,102509,13533,34280,89444,207707,76021,241918,109542,62710,81163,100565,85845,152347,164530,183019,71240,72417,59799,417558,75123,104916,16142,165923,27124,12495,56347,66681,205950,347776,483554,799164,1841368,848779,2373755,11375829,2448081,2338446,5552326,3816297,3223302,7952167,29083866,13636304,9115889,6200164,3527876,7641982,8798200,10944840,9553349,72168766,18003178,45461969,35510060,225880958,80358561,102160296,29932834,11698843,8146767,23479511,16959892,4521225,15996089,12115849,21009258,8819184,9406255,872849,1417110,383747,3664959,4653484,551636,39579184,30705462,84105223,69194728,54426489,17086565,25204053,76694858,157918673,155378291,28924141,9523877,6261529,476568919,255009453,125900587,148890985,40747682,34053477,241392799,168602443,36275469,10403567,22366904,7952567,11470469,12239471,42256519,373817448,77956520,59994391,14092810,61743329,25562951,11714004,11697387,10299481,4375832,85545261,31223285,57839037,9522375,40650840,21106464,10039428,26045041,62209082,22001202,17692303,16274133,52799570,156503327,9315332,11933919,56313240,66581659,76073100,131027476,101478311,86979222,93078143,76605003,123258480,90497149,78615403,84725978,97223621,76627434,77939441,15685858,8402760,8421086,11550850,14621361,32114552,8827120,6642002,1434340,46691300,99371158,70034511,33720900,19861075,20665300,117436821,48930752,13559716,22260501,18626288,22860635,32100426,37982493,25260543,32446067,53781210,136451034,82962221,256313220,165528990,148957901,104915597,102297752,87808487,66204456,77494367,85781694,90861350,84464082,"01003.HK"
"7",6318249,2951743,1599615,2432456,1939829,658249,1528834,442844,1349534,703590,176946,371310,274157,985013,131193599,8953839,2637715,5216451,13279418,1524745,2922724,3617836,750958,1104398,762061,1715178,323435,1049898,2443143,27381780,3981124,3007523,6786972,708750,12915806,9164871,6864542,4040213,4621900,4061958,7245461,6391677,3083629,21933502,5243014,2118121,2297970,917766,849352,9434134,903018,2622967,8039065,12988103,5521796,3480135,12359926,3836064,2097439,1575120,1513494,1679525,2844281,1338512,609430,58979,519126,1656242,8074597,1312403,2900780,1014172,1197591,1146328,4386754,796438,766780,583937,533443,2627568,2369271,224133,529866,1038924,1035737,2303114,2920949,1210495,243012,1172141,818074,1389746,578269,1786000,64877,212923,719588,2526825,175587,7650618,722024,530853,324174,3401607,929860,561516,2025474,1939365,455341,611881,5929984,445906,6825916,3089518,427035,906209,1265778,1080676,266598,431753,75500,264242,198182,507251,2014852,750502,188744,395770,543471,7944287,626809,590149,332208,1726055,798607,195224,2405933,1321499,138492,257984,527527,967437,134788,123387,89637,84942,36751,564567,0,540401,0,0,11563547,1159804,12936,2155380,1003080,28025,3233,1344536,195391,4248,41382,74111,803744,290182,43840,8350,75373,212940,29226,315232,97227,105504,342986,223995,2060,180724,682098,156616,154555,6182,115401,1159952,334478,0,0,0,102000,20000,116642,"01005.HK"
"8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34702958,17941550,9844825,16109592,3331289,835550,2396250,17951760,1325430,830521,444090,4607257,660555,315790,415414878,151349260,59787155,13794950,38029375,15834230,18293940,6344250,6378690,16031675,10730125,8940000,4093925,3198780,239725,134705,22620060,464114626,199176810,111506880,13307995,94192866,5633457,4716303,9050895,32568825,8534200,73472009,"01007.HK"
"9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51178335,13810809,15781432,31109361,42421864,54444286,5977817,2003594,2335468,513267,845134,68022,895852,3219777,3594932,3413543,4584364,9119255,3759836,10340376,2844609,9185232,0,3910730,4821832,155324216,19170229,8006971,11601082,1624314,1871676,7016728,2885842,1038902,445244,1706773,2374633,8154557,12293686,3355819,5738701,2811629,26038535,16556479,1137844,16028782,31962755,17768536,20959448,12087551,35792675,5288852,2691304,5128720,21585716,9128631,9240262,7802748,7209325,5451030,4638643,5612609,9716213,10840131,11810621,6664694,7372686,2879200,6835480,26055018,15099863,1513494,7506002,33351735,54793289,41478601,36699913,7031871,10517370,34376294,50339573,42344204,21561420,14932882,19221245,8172055,10222721,5397683,1115849,2162713,6452852,4439173,16167481,3177123,4920575,2264154,6756015,5235669,18486550,6405470,4412041,8790454,4912713,4099902,4123523,2728588,4939054,3002755,7905515,15240302,16407575,12066665,4781750,1033128,1192769,688013,845546,99665,2160488,5783802,3749809,2330881,157534,1720030,675152,315070,453419,254190,183255,1453699,879034,1070597,4309142,5700727,3591987,12398242,22475228,10514259,59707316,22313124,76176587,55470585,25662949,19658634,29321267,31373706,19280488,18716391,4688000,6794320,4540000,3078000,4448000,2968961,"01008.HK"
"10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2202000,10327970,31418550,31986006,8360000,4989831,4359969,1928000,1304000,23902110,14536500,32492500,7172000,1932000,6616000,1674540,5430000,3062040,1476000,1884000,1062000,2658780,1634016,2876000,622000,286000,1296000,854000,1898718,6339312,2032008,1756140,1120000,1228000,3572000,842010,41562856,103511610,69186000,82507284,103560000,41403078,23895134,20964001,92876000,28994204,18052000,28836453,14525000,16222040,6746200,58710000,38574000,4792000,6502100,19580003,10640100,40894000,23225990,12180520,3016000,5409000,6187640,2382800,6914000,1854000,1740000,6188050,1610000,1032000,928000,2730000,10114000,7644000,3476000,1044000,938000,48063259,69832530,29268530,75751364,156608200,70349358,47525100,26800466,24118120,21479675,7100000,48187309,17314024,103613112,108166000,29756120,12502000,19242000,12176000,11134000,12600000,4476800,4544000,4796000,2792000,6519789,12146500,2430000,49662000,5056000,2230000,1916000,2110000,20130120,10834000,3580000,496000,2654000,1638110,2346000,69510000,12010000,4786540,1716000,75776000,3876000,482004,1172000,2576000,27110000,256000,688000,250010,1326000,3222000,6928000,14132000,167916014,168660029,"01009.HK"
"11",61310745,64560804,54000495,78487797,75923600,70727669,53979945,55470224,51316990,141954566,58620316,132088751,78617343,97961414,59095866,98356021,83726192,142701143,155417396,114747901,142703782,144599134,92389570,160680231,78929322,109905057,95934983,85484929,109640295,70111974,72935338,137076419,115252839,99706551,103613963,65685138,95055569,97732020,90049190,107337043,90423748,81181177,92944860,68810674,96966726,49952587,54609740,67992350,131431820,125598792,118924534,152472338,156836872,160687926,215143820,184278510,187628268,782565529,137313165,208021413,168757789,189830501,128495084,153072401,189362310,112785433,298278506,234732597,202925723,146470717,142339048,142135026,169495106,163225467,117506257,203947912,173825737,134182377,141256647,164956566,184529866,174173468,166773305,167857424,165518779,191298784,143338113,178809161,267936201,184273123,146590889,132314419,122908358,94986852,100607422,138269969,144476599,120600053,131642060,103519541,146912780,113733789,129554104,93774454,95619089,91593604,112947581,139241951,99905675,185572655,234372054,221237924,180331511,128849018,181012565,155798944,221069936,90043651,95498968,179643281,286024942,177013775,198649869,144057903,140290048,117058461,153467015,119184158,93322767,124592281,94730772,138161977,182341574,187007382,93583170,111379972,118181267,83055307,88031282,190387387,91508668,171333931,106325338,146487493,140450592,106329317,79242917,93178603,137536429,86125789,95790112,97534370,116812835,99639708,94509279,113375667,206543560,108587034,107796479,160573881,96804431,120538099,215464839,138890979,170203778,106540814,60005643,129587226,138507347,283858341,115879280,172967414,193778699,165295192,99880242,121851579,84320600,85260999,93453738,83996762,105997339,131956662,80204411,73599953,61696912,80279547,84493264,110699179,71023923,105701216,90413696,"00101.HK"
"12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4194000,1484000,4134000,944000,1788000,672000,2220000,9486000,33328200,20014000,"01010.HK"
"13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,329567630,241701397,92332479,38863340,45825511,24096400,54607600,48274927,22152590,11149024,142966520,155026682,76344608,41492860,73037774,48654908,25723512,30096551,74037176,29328616,43698797,70436334,10536719,21360832,142160264,68156747,86343309,56592661,49814320,27274402,34980687,17543419,32637522,16826227,268671840,68787464,19648381,13258412,25289576,20705781,37702895,45233239,80460288,21798912,313720607,73341220,30099141,286005227,224495081,385495095,155256627,269751296,145260128,45954736,89677393,111798096,228575549,112017626,48079086,45922347,185475392,32828083,46492781,31319656,23117812,19881923,8810806,8459206,40054862,29859387,22536568,85152621,29479304,41579859,48781331,32135519,22508521,72860692,37829284,28808212,15321268,39199666,7758885,25907964,213674005,180900617,78283478,36148843,35081500,15203500,22106500,38028735,14639500,19886445,15551500,17250500,62285945,76343000,8900500,15132500,28914065,24789106,13837500,47633500,502345500,929948500,593926500,149100000,126384500,40058000,37678500,38752500,60089500,31052000,19749000,26480000,85533500,153956500,58915000,25999500,16445500,31089500,16386000,15766464,20594997,11378500,6537500,22527500,11908029,"01011.HK"
"14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44479279,39861155,7825200,1186000,5683600,1670800,2069600,3530400,5178200,3959800,6023400,1275600,8499130,3011800,781200,5466800,5036800,4781000,3108800,2110000,18972400,6436000,3352000,12108600,6115281,12155200,4434968,2665600,1542600,31497800,2296400,13849000,3703806,1538000,7639400,1506200,1907400,879800,2552200,4149000,3238800,263000,4141000,2705400,1107600,1217600,632200,2286800,2232200,1396800,1276800,615600,185800,3712800,772800,302800,624200,494600,622000,1100400,1119000,25061200,5151800,31644200,5309700,11543800,7352800,25890400,7920200,6134400,6932600,2266400,22630420,12913800,5537400,12963000,8159000,68260600,59413600,14085400,79002400,144909000,54097000,36019400,12102200,11586000,7392800,10025200,4570000,3599600,20019800,9173800,9195232,5862000,5607000,5602000,113634400,107612600,23546400,14115600,12488600,4483200,28482800,5596800,3522400,43338800,96414600,52749000,59236000,94045000,50936400,18405400,20827000,5534000,132687800,62899800,55023800,9160000,19089000,6588600,11412800,54226400,9855600,12210000,44303200,42219317,907200,20856000,2797000,5923200,4023000,2440800,3142517,3823000,3970400,8484600,12959600,30234000,24820820,16675400,46128600,164049000,9887000,136856400,21802000,5031800,11119800,21688400,10126400,3113000,1817000,64592805,4873600,3266200,4518400,2524600,1154000,8175400,16497800,9293800,9827600,"01013.HK"
"15",320000,0,6608000,984000,0,40000,3570372,320000,3744000,2176000,1027396,1517888,7277308,2202856,3408000,3504000,8041184,3688000,560000,2496000,864000,1800000,4536000,2152000,4848000,2264000,2792000,0,2344000,256000,0,0,0,0,0,0,0,304000,208000,0,1464000,24000,202832,552000,103540,120000,672000,1592000,88000,1468000,3280000,9720000,2096000,2348000,1955180,2112000,2642016,30801080,44629552,42600000,32309368,42903308,11217720,4178000,1248000,1808000,3752000,3304000,1080000,512000,6152000,7560000,4240000,2280000,2496000,3992000,1312000,2696000,312000,325184,1528000,5872000,984000,32254904,31954604,65992128,68119736,57012036,15932000,271799960,420015518,270442744,625735496,218644034,167561112,199020268,90977708,81797388,356556314,134615816,75058367,99390306,69640029,110047075,94930031,180472919,128498826,96575359,57018007,47694976,101406336,121935424,113205246,97820189,45135064,33461660,35912300,19327546,26798741,73422262,110001508,106905543,152402856,63898392,81666972,70301880,107865591,567793194,183863360,139149020,86847972,108965299,157269893,179159928,140128161,100854760,76723314,62036404,98640995,537500388,123784053,156558316,359136814,134769000,84810000,195918800,71801600,53736000,51898000,49358500,122171200,49136647,130296000,120906882,74222000,71344759,63976000,69634000,536373632,264643395,66242000,114226000,58887728,72792000,33518000,33530800,70688000,35814000,38410000,34096000,70926000,31628487,95380000,97939988,41476000,45423980,374256200,614271510,215824000,183941299,222166000,134843600,362180000,51062000,36788500,53499100,48536045,69239075,10595605,150691500,1089702000,"00102.HK"
"16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925956000,200196000,195101000,614443200,327202400,152584000,554050000,177731601,208343001,176986000,70158000,58574354,95020000,109032000,58028000,153976000,154882908,31356095,50196000,219294000,147238000,33708000,22234000,32248000,44984000,39206908,37048372,96482000,103770000,49428000,230272000,39968000,64792000,20576000,39928000,38432000,23344000,45640000,258696000,272064000,257152000,76520000,570602000,273394000,122688629,81244000,87156000,261632000,157750000,197632000,268060000,230286000,218144000,138666000,104100000,17044000,154790050,597164050,446070036,1105526026,674646000,129196000,72640000,85892000,175772000,121338000,107782000,44424000,168368000,389540000,167492000,65548000,39655200,53115200,216516000,203820000,214944000,154016000,527828000,721216000,459478600,275084000,240109584,366040000,270076000,182222400,141311200,118682400,121480400,120924800,140164000,248156000,210242400,66936100,106606400,71668000,80148000,48444000,20564000,30974400,82301601,43804000,20966400,26462010,22664800,40276000,17468000,259176000,174380000,317380800,64742400,21160000,27056000,36652000,47348000,71401600,63573600,23392000,36360784,27628000,87807200,35105600,25988800,63690000,64908000,62704000,143380000,37668000,34968000,27768000,31395200,278842000,435780300,99067200,49930000,37956000,46360000,22254429,"01020.HK"
"17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,108748000,13378000,28710000,49648401,247655501,92176000,47676500,64498500,22166120,18117502,35510051,45007504,20142502,24202521,34810004,79841189,17824918,22521967,22055007,49170148,30415768,13251926,9618686,20186728,16316309,28677217,33686469,114684281,12102476,10337608,11184935,35462548,15528983,45483829,20383801,13517417,8545071,39377140,13811071,14418692,8980255,5198771,3227789,5272870,5893703,1383466,2729298,560613,419578,1626000,928500,3648000,3948000,3670500,2142000,496500,2207500,3156000,7104000,33691500,1927500,7896000,3652500,2016000,1000500,42991500,7918500,33313500,3384000,1893000,2281500,817500,2166000,5863500,556838715,372743500,1189239465,700833400,345204970,151641400,167914500,71639500,41439430,139986500,29133000,"01022.HK"
